RESTAURANT_ID,RESTAURANT_NAME,RESTAURANT_LOCATION,UserID,CUISINE_NAME,CUISINE_ID,UserID
6317637,Le Petit Souffle,Makati City,79,French,19,666
6304287,Izakaya Kikufuji,Makati City,808,Japanese,6,289
6300002,Heat - Edsa Shangri-La,Mandaluyong City,571,Seafood,17,871
6318506,Ooma,Mandaluyong City,531,Japanese,24,839
6314302,Sambo Kojin,Mandaluyong City,528,Japanese,22,611
18189371,Din Tai Fung,Mandaluyong City,420,Chinese,4,458
6300781,Buffet 101,Pasay City,407,Asian,4,86
6301290,Vikings,Pasay City,945,Seafood,20,350
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,269,European,7,686
6314987,Locavore,Pasig City,258,Filipino,7,662
6309903,Silantro Fil-Mex,Pasig City,718,Filipino,6,862
6309455,Mad Mark's Creamery & Good Eats,Pasig City,936,American,3,569
6318433,Silantro Fil-Mex,Quezon City,249,Filipino,23,324
6310470,Guevarra's,San Juan City,972,Filipino,29,273
6314605,Sodam Korean Restaurant,San Juan City,842,Korean,24,400
18185059,Cafe Arabelle,Santa Rosa,486,Cafe,25,620
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,72,Italian,16,903
6318213,Balay Dako,Tagaytay City,514,Filipino,5,961
18255654,Hobing Korean Dessert Cafe,Taguig City,147,Cafe,18,710
6308205,Wildflour Cafe + Bakery,Taguig City,271,Cafe,26,83
6315438,NIU by Vikings,Taguig City,494,Seafood,6,411
6310406,The Food Hall by Todd English,Taguig City,903,American,14,240
6600681,Chez Michou,Brasí_lia,181,FastFood,4,597
6601005,Cafí© Daniel Briand,Brasí_lia,908,Cafe,12,17
6600292,Casa do Biscoito Mineiro,Brasí_lia,747,Bakery,26,871
6600441,Maori,Brasí_lia,386,Brazilian,24,897
6600970,Pizza íæ Bessa,Brasí_lia,272,Pizza,23,850
6600379,Sushi Loko,Brasí_lia,585,Japanese,21,977
6600214,Beirute,Brasí_lia,78,Arabian,24,353
6601218,New Koto,Brasí_lia,396,Japanese,16,837
6600060,Sandubas Cafí©,Brasí_lia,920,Brazilian,24,670
6600083,Villa Tevere,Brasí_lia,478,Italian,14,33
6601515,Rovereto,Brasí_lia,860,Pizza,5,666
6601361,Buena Carne,Brasí_lia,697,BarFood,11,49
6601602,Taco Pep,Brasí_lia,172,Mexican,5,349
6601589,Coco Bambu,Brasí_lia,731,International,4,981
6601862,Taypíç,Brasí_lia,165,Peruvian,19,765
6601595,Outback Steakhouse,Brasí_lia,158,American,23,200
6601158,Manzuíç,Brasí_lia,70,Seafood,29,926
6600427,Coco Bambu,Brasí_lia,521,International,11,948
6600116,Gero,Brasí_lia,68,Italian,22,392
6601457,Brazilian American Burgers,Brasí_lia,883,American,4,993
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,742,Seafood,15,765
7304307,Confeitaria Colombo,Rio de Janeiro,738,Desserts,27,75
7301215,Bibi,Rio de Janeiro,149,Juices,16,961
7300596,Cervantes,Rio de Janeiro,751,Beverages,11,211
7300612,Amir,Rio de Janeiro,734,Lebanese,14,725
7300704,TT Burger,Rio de Janeiro,255,Burger,10,420
7300955,Braseiro da Gíçvea,Rio de Janeiro,606,Brazilian,19,381
7300521,Balada Mix,Rio de Janeiro,411,Brazilian,22,902
7300515,Garota de Ipanema,Rio de Janeiro,183,Brazilian,14,179
7300483,Zazíç BistríÇ Tropical,Rio de Janeiro,873,Brazilian,30,621
7301064,Filí© de Ouro,Rio de Janeiro,351,Brazilian,27,95
7304312,D.O.C Ristorante,Rio de Janeiro,414,Italian,30,381
7300004,Sushi Leblon,Rio de Janeiro,488,Japanese,17,252
7300868,Talho Capixaba,Rio de Janeiro,573,Bakery,26,242
7302637,Leme Light,Rio de Janeiro,616,Brazilian,28,545
7302140,Shirley,Rio de Janeiro,942,Brazilian,20,631
7305048,Quiosque Chopp Brahma,Rio de Janeiro,808,BarFood,13,168
7302898,Aprazí_vel,Rio de Janeiro,159,Brazilian,15,949
7302859,Aconchego Carioca,Rio de Janeiro,41,Brazilian,14,657
7301700,Garota de Ipanema,Rio de Janeiro,945,Brazilian,28,819
6706313,Cantina Famiglia Mancini,Sí£o Paulo,161,Italian,12,89
6704326,Templo da Carne - Marcos Bassi,Sí£o Paulo,170,Steak,25,318
6711179,Gopala Hari,Sí£o Paulo,701,Indian,5,704
6702797,Jiquitaia,Sí£o Paulo,838,Brazilian,20,362
6700475,Skye - Hotel Unique,Sí£o Paulo,360,Beverages,22,730
6713413,Les 3 Brasseurs,Sí£o Paulo,50,French,1,283
6714340,Red Steak & Burger,Sí£o Paulo,645,Brazilian,8,780
6710645,Cantinho da Gula,Sí£o Paulo,300,Brazilian,11,663
6700402,Paris 6 Classique,Sí£o Paulo,980,French,17,868
6700846,Kawa Sushi,Sí£o Paulo,43,Sushi,17,434
6702159,A Figueira Rubaiyat,Sí£o Paulo,513,BBQ,28,100
6711666,Kinoshita,Sí£o Paulo,959,Sushi,5,7
6701257,Meats,Sí£o Paulo,546,GourmetFastFood,20,253
6706211,Paribar,Sí£o Paulo,383,Brazilian,5,457
6705858,Terraí_o Itíçlia,Sí£o Paulo,169,Italian,9,553
6701419,Divino Fogí£o,Sí£o Paulo,601,Brazilian,22,355
6703956,Super Grill,Sí£o Paulo,591,Brazilian,25,29
6709580,Esquina Mocotí_,Sí£o Paulo,941,Brazilian,7,407
6703176,Veloso,Sí£o Paulo,515,Brazilian,25,846
6713772,Sainte Marie Gastronomia,Sí£o Paulo,354,Lebanese,26,573
17284404,Austin's BBQ and Oyster Bar,Albany,345,BBQ,4,957
17284203,BJ's Country Buffet,Albany,602,American,25,693
17284302,El Vaquero Mexican Restaurant,Albany,91,Mexican,26,340
17284397,Elements Coffee Co - Northwest,Albany,189,CoffeeandTea,15,826
17284094,Chick-fil-A,Albany,705,FastFood,2,640
17284409,Guang Zhou Chinese Restaurant,Albany,945,Asian,2,726
