RESTAURANT_ID,RESTAURANT_NAME,RESTAURANT_LOCATION,UserID,CUISINE_NAME,CUISINE_ID,UserID.1
6317637,Le Petit Souffle,Makati City,79,French,1,666
6304287,Izakaya Kikufuji,Makati City,808,Japanese,2,289
6300002,Heat - Edsa Shangri-La,Mandaluyong City,571,Seafood,3,871
6318506,Ooma,Mandaluyong City,531,Japanese,2,839
6314302,Sambo Kojin,Mandaluyong City,528,Japanese,2,611
18189371,Din Tai Fung,Mandaluyong City,420,Chinese,4,458
6300781,Buffet 101,Pasay City,407,Asian,5,86
6301290,Vikings,Pasay City,945,Seafood,3,350
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,269,European,6,686
6314987,Locavore,Pasig City,258,Filipino,7,662
6309903,Silantro Fil-Mex,Pasig City,718,Filipino,7,862
6309455,Mad Mark's Creamery & Good Eats,Pasig City,936,American,8,569
6318433,Silantro Fil-Mex,Quezon City,249,Filipino,7,324
6310470,Guevarra's,San Juan City,972,Filipino,7,273
6314605,Sodam Korean Restaurant,San Juan City,842,Korean,9,400
18185059,Cafe Arabelle,Santa Rosa,486,Cafe,10,620
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,72,Italian,11,903
6318213,Balay Dako,Tagaytay City,514,Filipino,7,961
18255654,Hobing Korean Dessert Cafe,Taguig City,147,Cafe,10,710
6308205,Wildflour Cafe + Bakery,Taguig City,271,Cafe,10,83
6315438,NIU by Vikings,Taguig City,494,Seafood,3,411
6310406,The Food Hall by Todd English,Taguig City,903,American,8,240
6600681,Chez Michou,Brasí_lia,181,FastFood,12,597
6601005,Cafí© Daniel Briand,Brasí_lia,908,Cafe,10,17
6600292,Casa do Biscoito Mineiro,Brasí_lia,747,Bakery,13,871
6600441,Maori,Brasí_lia,386,Brazilian,14,897
6600970,Pizza íæ Bessa,Brasí_lia,272,Pizza,15,850
6600379,Sushi Loko,Brasí_lia,585,Japanese,2,977
6600214,Beirute,Brasí_lia,78,Arabian,16,353
6601218,New Koto,Brasí_lia,396,Japanese,2,837
6600060,Sandubas Cafí©,Brasí_lia,920,Brazilian,14,670
6600083,Villa Tevere,Brasí_lia,478,Italian,11,33
6601515,Rovereto,Brasí_lia,860,Pizza,15,666
6601361,Buena Carne,Brasí_lia,697,BarFood,17,49
6601602,Taco Pep,Brasí_lia,172,Mexican,18,349
6601589,Coco Bambu,Brasí_lia,731,International,19,981
6601862,Taypíç,Brasí_lia,165,Peruvian,20,765
6601595,Outback Steakhouse,Brasí_lia,158,American,8,200
6601158,Manzuíç,Brasí_lia,70,Seafood,3,926
6600427,Coco Bambu,Brasí_lia,521,International,19,948
6600116,Gero,Brasí_lia,68,Italian,11,392
6601457,Brazilian American Burgers,Brasí_lia,883,American,8,993
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,742,Seafood,3,765
7304307,Confeitaria Colombo,Rio de Janeiro,738,Desserts,21,75
7301215,Bibi,Rio de Janeiro,149,Juices,22,961
7300596,Cervantes,Rio de Janeiro,751,Beverages,23,211
7300612,Amir,Rio de Janeiro,734,Lebanese,24,725
7300704,TT Burger,Rio de Janeiro,255,Burger,25,420
7300955,Braseiro da Gíçvea,Rio de Janeiro,606,Brazilian,14,381
7300521,Balada Mix,Rio de Janeiro,411,Brazilian,14,902
7300515,Garota de Ipanema,Rio de Janeiro,183,Brazilian,14,179
7300483,Zazíç BistríÇ Tropical,Rio de Janeiro,873,Brazilian,14,621
7301064,Filí© de Ouro,Rio de Janeiro,351,Brazilian,14,95
7304312,D.O.C Ristorante,Rio de Janeiro,414,Italian,11,381
7300004,Sushi Leblon,Rio de Janeiro,488,Japanese,2,252
7300868,Talho Capixaba,Rio de Janeiro,573,Bakery,13,242
7302637,Leme Light,Rio de Janeiro,616,Brazilian,14,545
7302140,Shirley,Rio de Janeiro,942,Brazilian,14,631
7305048,Quiosque Chopp Brahma,Rio de Janeiro,808,BarFood,17,168
7302898,Aprazí_vel,Rio de Janeiro,159,Brazilian,14,949
7302859,Aconchego Carioca,Rio de Janeiro,41,Brazilian,14,657
7301700,Garota de Ipanema,Rio de Janeiro,945,Brazilian,14,819
6706313,Cantina Famiglia Mancini,Sí£o Paulo,161,Italian,11,89
6704326,Templo da Carne - Marcos Bassi,Sí£o Paulo,170,Steak,26,318
6711179,Gopala Hari,Sí£o Paulo,701,Indian,27,704
6702797,Jiquitaia,Sí£o Paulo,838,Brazilian,14,362
